ID,Pred
2022_3107_3110,0.5
2022_3107_3112,0.5
2022_3107_3116,0.5
2022_3107_3124,0.5
2022_3107_3125,0.5
2022_3107_3138,0.5
2022_3107_3140,0.5
2022_3107_3150,0.5
2022_3107_3160,0.5
2022_3107_3163,0.5
2022_3107_3166,0.5
2022_3107_3173,0.5
2022_3107_3174,0.5
2022_3107_3177,0.5
2022_3107_3193,0.5
2022_3107_3195,0.5
2022_3107_3196,0.5
2022_3107_3199,0.5
2022_3107_3208,0.5
2022_3107_3210,0.5
2022_3107_3211,0.5
2022_3107_3218,0.5
2022_3107_3224,0.5
2022_3107_3229,0.5
2022_3107_3230,0.5
2022_3107_3231,0.5
2022_3107_3234,0.5
2022_3107_3235,0.5
2022_3107_3237,0.5
2022_3107_3238,0.5
2022_3107_3242,0.5
2022_3107_3243,0.5
2022_3107_3246,0.5
2022_3107_3255,0.5
2022_3107_3257,0.5
2022_3107_3261,0.5
2022_3107_3268,0.5
2022_3107_3269,0.5
2022_3107_3273,0.5
2022_3107_3274,0.5
2022_3107_3276,0.5
2022_3107_3279,0.5
2022_3107_3283,0.5
2022_3107_3286,0.5
2022_3107_3291,0.5
2022_3107_3301,0.5
2022_3107_3304,0.5
2022_3107_3314,0.5
2022_3107_3323,0.5
2022_3107_3326,0.5
2022_3107_3328,0.5
2022_3107_3332,0.5
2022_3107_3343,0.5
2022_3107_3372,0.5
2022_3107_3376,0.5
2022_3107_3377,0.5
2022_3107_3378,0.5
2022_3107_3390,0.5
2022_3107_3397,0.5
2022_3107_3400,0.5
2022_3107_3416,0.5
2022_3107_3424,0.5
2022_3107_3426,0.5
2022_3107_3428,0.5
2022_3107_3437,0.5
2022_3107_3439,0.5
2022_3107_3450,0.5
2022_3110_3112,0.5
2022_3110_3116,0.5
2022_3110_3124,0.5
2022_3110_3125,0.5
2022_3110_3138,0.5
2022_3110_3140,0.5
2022_3110_3150,0.5
2022_3110_3160,0.5
2022_3110_3163,0.5
2022_3110_3166,0.5
2022_3110_3173,0.5
2022_3110_3174,0.5
2022_3110_3177,0.5
2022_3110_3193,0.5
2022_3110_3195,0.5
2022_3110_3196,0.5
2022_3110_3199,0.5
2022_3110_3208,0.5
2022_3110_3210,0.5
2022_3110_3211,0.5
2022_3110_3218,0.5
2022_3110_3224,0.5
2022_3110_3229,0.5
2022_3110_3230,0.5
2022_3110_3231,0.5
2022_3110_3234,0.5
2022_3110_3235,0.5
2022_3110_3237,0.5
2022_3110_3238,0.5
2022_3110_3242,0.5
2022_3110_3243,0.5
2022_3110_3246,0.5
2022_3110_3255,0.5
2022_3110_3257,0.5
2022_3110_3261,0.5
2022_3110_3268,0.5
2022_3110_3269,0.5
2022_3110_3273,0.5
2022_3110_3274,0.5
2022_3110_3276,0.5
2022_3110_3279,0.5
2022_3110_3283,0.5
2022_3110_3286,0.5
2022_3110_3291,0.5
2022_3110_3301,0.5
2022_3110_3304,0.5
2022_3110_3314,0.5
2022_3110_3323,0.5
2022_3110_3326,0.5
2022_3110_3328,0.5
2022_3110_3332,0.5
2022_3110_3343,0.5
2022_3110_3372,0.5
2022_3110_3376,0.5
2022_3110_3377,0.5
2022_3110_3378,0.5
2022_3110_3390,0.5
2022_3110_3397,0.5
2022_3110_3400,0.5
2022_3110_3416,0.5
2022_3110_3424,0.5
2022_3110_3426,0.5
2022_3110_3428,0.5
2022_3110_3437,0.5
2022_3110_3439,0.5
2022_3110_3450,0.5
2022_3112_3116,0.5
2022_3112_3124,0.5
2022_3112_3125,0.5
2022_3112_3138,0.5
2022_3112_3140,0.5
2022_3112_3150,0.5
2022_3112_3160,0.5
